Agency / Banca,ASM Emp Code,ASM Name,City,Date of Birth,Date of Joning,Designation,Emp Code,Employee Status,Function,Last Working Date,Name,RHR,RSM Emp Code,RSM Name,RTM,State,Zone
Banca,33, Beth,Delhi,1975-04-21 00:00:00,2006-07-18 00:00:00,ASM - Banca,33,Active,Sales,, Beth,Ankit,8, Albert,Priya,Delhi,North 3
Banca,33, Beth,Delhi,1976-12-10 00:00:00,2009-10-07 00:00:00,SM - Banca,149,Active,Sales,, Haley,Ankit,8, Albert,Priya,Delhi,North 3
Banca,33, Beth,Delhi,1981-10-21 00:00:00,2010-03-18 00:00:00,SM - Banca,296,Exited,Sales,2024-05-05 00:00:00, Philip,Ankit,8, Albert,Priya,Delhi,North 3
Banca,33, Beth,Delhi,1983-08-14 00:00:00,2009-12-02 00:00:00,SM - Banca,152,Active,Sales,, Harry,Ankit,8, Albert,Priya,Delhi,North 3
Banca,33, Beth,Delhi,1987-05-08 00:00:00,2020-02-01 00:00:00,SM - Banca,150,Active,Sales,, Hannah,Ankit,8, Albert,Priya,Delhi,North 3
Banca,34, Betty,Agra,1986-06-01 00:00:00,2015-01-22 00:00:00,SM - Banca,157,Active,Sales,, Holly,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,All,1972-03-13 00:00:00,2019-06-28 00:00:00,ASM - Banca,260,Exited,Sales,2024-03-17 00:00:00, Matthew,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,All,1988-12-31 00:00:00,2010-10-01 00:00:00,ASM - Banca,34,Active,Sales,, Betty,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Allahabad,1983-05-10 00:00:00,2011-05-12 00:00:00,SM - Banca,158,Active,Sales,, Howard,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Gorakhpur,1965-12-20 00:00:00,2015-06-11 00:00:00,SM - Banca,159,Active,Sales,, Ian,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Kanpur,1969-07-31 00:00:00,2013-07-27 00:00:00,SM - Banca,298,Exited,Sales,2024-03-21 00:00:00, Preston,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Kanpur,1983-12-06 00:00:00,2024-04-14 00:00:00,SM - Banca,155,Active,Sales,, Henry,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Lucknow,1963-10-08 00:00:00,2020-04-02 00:00:00,SM - Banca,154,Active,Sales,, Helen,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Lucknow,1971-12-26 00:00:00,2018-11-23 00:00:00,SM - Banca,297,Exited,Sales,2024-02-17 00:00:00, Phyllis,Ankit,8, Albert,Priya,UP,North 4
Banca,34, Betty,Varanasi,1976-04-23 00:00:00,2014-06-11 00:00:00,SM - Banca,156,Active,Sales,, Herbert,Ankit,8, Albert,Priya,UP,North 4
Banca,35, Beverly,All,1961-05-25 00:00:00,2006-12-08 00:00:00,ASM - Banca,35,Active,Sales,, Beverly,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Begusarai,1972-05-17 00:00:00,2011-09-10 00:00:00,SM - Banca,300,Exited,Sales,2024-05-05 00:00:00, Ralph,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Begusarai,1974-09-22 00:00:00,2014-04-13 00:00:00,SM - Banca,163,Active,Sales,, Ivan,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Darbhanga,1973-09-13 00:00:00,2018-04-02 00:00:00,SM - Banca,299,Exited,Sales,2024-05-05 00:00:00, Rachel,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Darbhanga,1975-03-29 00:00:00,2023-10-03 00:00:00,SM - Banca,162,Active,Sales,, Isabelle,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Gaya,1967-01-14 00:00:00,2023-04-19 00:00:00,SM - Banca,161,Active,Sales,, Isaac,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Katihar,1977-07-20 00:00:00,2012-03-23 00:00:00,SM - Banca,301,Exited,Sales,2024-01-14 00:00:00, Randy,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Katihar,1985-11-04 00:00:00,2005-12-20 00:00:00,SM - Banca,164,Active,Sales,, Jack,Ankit,8, Albert,Priya,Bihar,North 5
Banca,35, Beverly,Patna,1963-10-01 00:00:00,2009-08-27 00:00:00,SM - Banca,160,Active,Sales,, Irene,Ankit,8, Albert,Priya,Bihar,North 5
Banca,36, Bill,All,1961-03-27 00:00:00,2018-05-27 00:00:00,ASM - Banca,36,Active,Sales,, Bill,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Dibrugarh,1982-04-16 00:00:00,2013-02-04 00:00:00,SM - Banca,166,Active,Sales,, Jacob,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Dibrugarh,1984-09-10 00:00:00,2011-08-03 00:00:00,SM - Banca,302,Exited,Sales,2024-02-29 00:00:00, Raymond,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Guwahati,1985-01-21 00:00:00,2018-12-29 00:00:00,SM - Banca,165,Active,Sales,, Jackson,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Jorhat,1980-03-12 00:00:00,2017-06-06 00:00:00,SM - Banca,303,Exited,Sales,2024-03-31 00:00:00, Rebecca,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Jorhat,1984-04-05 00:00:00,2014-11-03 00:00:00,SM - Banca,167,Active,Sales,, Jacqueline,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Nagaon,1968-01-16 00:00:00,2006-12-23 00:00:00,SM - Banca,170,Active,Sales,, Jamie,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Silchar,1963-03-05 00:00:00,2022-09-08 00:00:00,SM - Banca,168,Active,Sales,, Jade,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Tezpur,1977-02-15 00:00:00,2013-09-28 00:00:00,SM - Banca,169,Active,Sales,, James,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,36, Bill,Tinsukia,1978-05-27 00:00:00,2023-08-03 00:00:00,SM - Banca,171,Active,Sales,, Jane,Nikhil,9, Alex,Naveen,Assam,East 1
Banca,37, Billy,All,1976-04-12 00:00:00,2012-08-14 00:00:00,ASM - Banca,37,Active,Sales,, Billy,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Cherrapunji,1969-07-10 00:00:00,2012-08-22 00:00:00,SM - Banca,177,Active,Sales,, Jenna,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Jowai,1961-08-10 00:00:00,2005-02-24 00:00:00,SM - Banca,174,Active,Sales,, Jason,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Nongpoh,1980-09-12 00:00:00,2023-08-09 00:00:00,SM - Banca,178,Active,Sales,, Jennifer,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Nongstoin,1985-10-01 00:00:00,2021-04-05 00:00:00,SM - Banca,175,Active,Sales,, Jean,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Shillong,1972-07-12 00:00:00,2011-10-12 00:00:00,SM - Banca,172,Active,Sales,, Janet,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Shillong,1983-07-07 00:00:00,2023-10-30 00:00:00,SM - Banca,304,Exited,Sales,2024-03-24 00:00:00, Regina,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Tura,1962-03-18 00:00:00,2018-02-11 00:00:00,SM - Banca,305,Exited,Sales,2024-05-05 00:00:00, Renee,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Tura,1973-05-13 00:00:00,2023-10-21 00:00:00,SM - Banca,173,Active,Sales,, Jared,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,37, Billy,Williamnagar,1972-11-27 00:00:00,2021-05-10 00:00:00,SM - Banca,176,Active,Sales,, Jeffrey,Nikhil,9, Alex,Naveen,Meghalya,East 2
Banca,38, Blake,All,1967-02-06 00:00:00,2014-12-03 00:00:00,ASM - Banca,38,Active,Sales,, Blake,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Amravati,1973-12-08 00:00:00,2009-03-14 00:00:00,SM - Banca,181,Active,Sales,, Jesse,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Aurangabad,1972-02-17 00:00:00,2016-02-07 00:00:00,SM - Banca,309,Exited,Sales,2024-01-05 00:00:00, Riley,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Aurangabad,1974-05-29 00:00:00,2019-09-04 00:00:00,SM - Banca,190,Active,Sales,, Jonathan,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Kohlapur,1964-07-07 00:00:00,2009-10-08 00:00:00,SM - Banca,182,Active,Sales,, Jessica,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Nagpur,1976-08-07 00:00:00,2006-11-30 00:00:00,SM - Banca,188,Active,Sales,, John,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Nashik,1988-08-05 00:00:00,2021-03-06 00:00:00,SM - Banca,189,Active,Sales,, Johnny,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Pune,1973-08-29 00:00:00,2008-09-19 00:00:00,SM - Banca,187,Active,Sales,, Joel,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Sangli,1960-01-25 00:00:00,2023-05-23 00:00:00,SM - Banca,183,Active,Sales,, Jill,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Sangli,1988-02-28 00:00:00,2014-09-22 00:00:00,SM - Banca,306,Exited,Sales,2024-05-05 00:00:00, Richard,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Solapur,1974-04-15 00:00:00,2019-06-23 00:00:00,SM - Banca,180,Active,Sales,, Jerry,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,38, Blake,Thane,1982-05-16 00:00:00,2015-01-19 00:00:00,SM - Banca,179,Active,Sales,, Jeremy,Raswinder,10, Alexander,Sahil,Maharashtra Urban,West 1
Banca,39, Bobby,Ahmednagar,1963-06-28 00:00:00,2014-01-07 00:00:00,SM - Banca,308,Exited,Sales,2024-01-09 00:00:00, Ricky,Raswinder,10, Alexander,Sahil,Maharashtra Rural,West 2
Banca,39, Bobby,Ahmednagar,1987-03-23 00:00:00,2018-07-10 00:00:00,SM - Banca,185,Active,Sales,, Joan,Raswinder,10, Alexander,Sahil,Maharashtra Rural,West 2
Banca,39, Bobby,All,1974-03-28 00:00:00,2018-11-08 00:00:00,ASM - Banca,39,Active,Sales,, Bobby,Raswinder,10, Alexander,Sahil,Maharashtra Rural,West 2
Banca,39, Bobby,Jalgaon,1964-04-14 00:00:00,2021-12-01 00:00:00,SM - Banca,184,Active,Sales,, Jim,Raswinder,10, Alexander,Sahil,Maharashtra Rural,West 2
Banca,39, Bobby,Jalgaon,1979-09-29 00:00:00,2019-03-31 00:00:00,SM - Banca,307,Exited,Sales,2024-05-05 00:00:00, Rick,Raswinder,10, Alexander,Sahil,Maharashtra Rural,West 2
Banca,39, Bobby,Satara,1974-02-13 00:00:00,2011-01-03 00:00:00,SM - Banca,186,Active,Sales,, Joe,Raswinder,10, Alexander,Sahil,Maharashtra Rural,West 2
Banca,40, Brandon,All,1976-11-02 00:00:00,2018-08-20 00:00:00,ASM - Banca,40,Active,Sales,, Brandon,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,Bicholim,1967-03-20 00:00:00,2012-05-24 00:00:00,SM - Banca,195,Active,Sales,, Juan,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,Bicholim,1980-10-07 00:00:00,2018-11-12 00:00:00,SM - Banca,311,Exited,Sales,2024-02-09 00:00:00, Robert,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,Mapusa,1968-07-04 00:00:00,2022-03-18 00:00:00,SM - Banca,194,Active,Sales,, Joyce,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,Margao,1976-06-02 00:00:00,2024-01-12 00:00:00,SM - Banca,192,Active,Sales,, Joseph,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,Panaji,1971-11-15 00:00:00,2012-07-09 00:00:00,SM - Banca,310,Exited,Sales,2024-02-21 00:00:00, Rita,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,Panaji,1978-07-18 00:00:00,2016-10-20 00:00:00,SM - Banca,191,Active,Sales,, Jordan,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,40, Brandon,VascodaGama,1964-11-01 00:00:00,2013-05-15 00:00:00,SM - Banca,193,Active,Sales,, Joshua,Raswinder,10, Alexander,Sahil,Goa,West 3
Banca,41, Brenda,Ajmer,1965-05-30 00:00:00,2023-12-02 00:00:00,SM - Banca,200,Active,Sales,, Justin,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,All,1969-12-08 00:00:00,2023-11-29 00:00:00,ASM - Banca,41,Active,Sales,, Brenda,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,Jaipur,1963-02-27 00:00:00,2017-04-09 00:00:00,SM - Banca,312,Exited,Sales,2024-01-27 00:00:00, Robin,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,Jaipur,1971-08-01 00:00:00,2008-08-17 00:00:00,SM - Banca,196,Active,Sales,, Judith,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,Jodhpur,1961-01-09 00:00:00,2017-06-17 00:00:00,SM - Banca,197,Active,Sales,, Judy,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,Jodhpur,1982-06-01 00:00:00,2008-09-08 00:00:00,SM - Banca,313,Exited,Sales,2024-03-01 00:00:00, Roger,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,Kota,1974-08-17 00:00:00,2012-01-25 00:00:00,SM - Banca,199,Active,Sales,, Julie,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,41, Brenda,Udaipur,1984-09-01 00:00:00,2013-05-21 00:00:00,SM - Banca,198,Active,Sales,, Julia,Raswinder,10, Alexander,Sahil,Rajasthan,West 4
Banca,42, Brian,Ahmedabad,1961-05-01 00:00:00,2023-11-23 00:00:00,SM - Banca,201,Active,Sales,, Kaitlyn,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,All,1985-10-29 00:00:00,2011-04-11 00:00:00,ASM - Banca,261,Exited,Sales,2024-01-30 00:00:00, Maureen,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,All,1987-03-25 00:00:00,2015-06-10 00:00:00,ASM - Banca,42,Active,Sales,, Brian,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Bhavnagar,1985-02-25 00:00:00,2015-09-21 00:00:00,SM - Banca,205,Active,Sales,, Kathleen,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Gandhinagar,1971-04-02 00:00:00,2010-08-16 00:00:00,SM - Banca,207,Active,Sales,, Kathy,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Gandhinagar,1986-08-10 00:00:00,2017-04-02 00:00:00,SM - Banca,314,Exited,Sales,2024-04-26 00:00:00, Ronald,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Jamnagar,1960-02-05 00:00:00,2022-09-19 00:00:00,SM - Banca,206,Active,Sales,, Kathryn,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Rajkot,1964-04-24 00:00:00,2018-10-18 00:00:00,SM - Banca,204,Active,Sales,, Katherine,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Surat,1965-04-09 00:00:00,2009-10-28 00:00:00,SM - Banca,202,Active,Sales,, Karen,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,42, Brian,Vadodara,1984-07-31 00:00:00,2023-11-13 00:00:00,SM - Banca,203,Active,Sales,, Karl,Raswinder,10, Alexander,Sahil,Gujarat,West 5
Banca,43, Brittany,Mumbai,1964-03-31 00:00:00,2007-10-21 00:00:00,SM - Banca,315,Exited,Sales,2024-02-25 00:00:00, Rose,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1966-10-04 00:00:00,2006-07-19 00:00:00,SM - Banca,316,Exited,Sales,2024-02-06 00:00:00, Roy,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1967-05-11 00:00:00,2017-07-23 00:00:00,SM - Banca,213,Active,Sales,, Kenneth,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1968-11-17 00:00:00,2017-12-30 00:00:00,ASM - Banca,262,Exited,Sales,2024-02-24 00:00:00, Max,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1972-07-17 00:00:00,2012-06-08 00:00:00,ASM - Banca,43,Active,Sales,, Brittany,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1972-11-28 00:00:00,2006-11-03 00:00:00,SM - Banca,208,Active,Sales,, Katie,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1976-07-08 00:00:00,2021-11-29 00:00:00,SM - Banca,209,Active,Sales,, Kayla,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1981-02-06 00:00:00,2024-04-25 00:00:00,SM - Banca,210,Active,Sales,, Keith,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1984-06-01 00:00:00,2023-08-30 00:00:00,SM - Banca,212,Active,Sales,, Ken,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,43, Brittany,Mumbai,1988-02-09 00:00:00,2014-11-08 00:00:00,SM - Banca,211,Active,Sales,, Kelly,Raswinder,10, Alexander,Sahil,Maharashtra Mumbai,West 6
Banca,44, Bruce,All,1966-06-14 00:00:00,2005-08-13 00:00:00,ASM - Banca,44,Active,Sales,, Bruce,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Bhopal,1984-07-24 00:00:00,2011-07-23 00:00:00,SM - Banca,214,Active,Sales,, Kevin,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Gwalior,1986-03-27 00:00:00,2020-07-21 00:00:00,SM - Banca,216,Active,Sales,, Kimberly,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Indore,1980-09-24 00:00:00,2021-04-01 00:00:00,SM - Banca,215,Active,Sales,, Kim,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Jabalpur,1971-09-26 00:00:00,2008-08-13 00:00:00,SM - Banca,317,Exited,Sales,2024-05-05 00:00:00, Ruby,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Jabalpur,1984-08-02 00:00:00,2011-02-12 00:00:00,SM - Banca,217,Active,Sales,, Kirk,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Ujjain,1968-10-15 00:00:00,2018-04-30 00:00:00,SM - Banca,318,Exited,Sales,2024-01-25 00:00:00, Russell,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,44, Bruce,Ujjain,1971-05-05 00:00:00,2008-10-28 00:00:00,SM - Banca,218,Active,Sales,, Krista,Raswinder,10, Alexander,Sahil,Madhya Pradesh,West 7
Banca,45, Bryan,Surat,1961-02-11 00:00:00,2018-11-19 00:00:00,ASM - Banca,45,Active,Sales,, Bryan,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,45, Bryan,Surat,1963-07-01 00:00:00,2011-10-13 00:00:00,SM - Banca,320,Exited,Sales,2024-04-23 00:00:00, Ryan,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,45, Bryan,Surat,1967-06-29 00:00:00,2013-08-12 00:00:00,SM - Banca,319,Exited,Sales,2024-04-01 00:00:00, Ruth,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,45, Bryan,Surat,1969-06-02 00:00:00,2013-03-20 00:00:00,SM - Banca,222,Active,Sales,, Laura,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,45, Bryan,Surat,1969-08-18 00:00:00,2009-04-04 00:00:00,SM - Banca,220,Active,Sales,, Kristina,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,45, Bryan,Surat,1976-04-10 00:00:00,2021-10-01 00:00:00,SM - Banca,219,Active,Sales,, Kristen,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,45, Bryan,Surat,1979-07-07 00:00:00,2019-04-02 00:00:00,SM - Banca,221,Active,Sales,, Kyle,Raswinder,10, Alexander,Sahil,Gujarat - Surat,West 8
Banca,46, Caleb,All,1986-07-08 00:00:00,2008-10-06 00:00:00,ASM - Banca,46,Active,Sales,, Caleb,Joseph,11, Alexis,Varsha,Kerela,South 1
Banca,46, Caleb,Kochi,1985-03-07 00:00:00,2011-06-27 00:00:00,SM - Banca,224,Active,Sales,, Lawrence,Joseph,11, Alexis,Varsha,Kerela,South 1
Banca,46, Caleb,Kozhikode,1984-11-26 00:00:00,2012-03-19 00:00:00,SM - Banca,225,Active,Sales,, Leah,Joseph,11, Alexis,Varsha,Kerela,South 1
Banca,46, Caleb,Thiruvananthapuram,1972-01-30 00:00:00,2018-05-19 00:00:00,SM - Banca,223,Active,Sales,, Lauren,Joseph,11, Alexis,Varsha,Kerela,South 1
Banca,46, Caleb,Thrissur,1968-03-14 00:00:00,2009-04-12 00:00:00,SM - Banca,226,Active,Sales,, Lee,Joseph,11, Alexis,Varsha,Kerela,South 1
Banca,46, Caleb,Thrissur,1975-01-01 00:00:00,2012-12-11 00:00:00,SM - Banca,321,Exited,Sales,2024-05-05 00:00:00, Sabrina,Joseph,11, Alexis,Varsha,Kerela,South 1
Banca,47, Cameron,All,1977-04-10 00:00:00,2011-05-03 00:00:00,ASM - Banca,47,Active,Sales,, Cameron,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,47, Cameron,Belagavi,1978-01-22 00:00:00,2008-01-06 00:00:00,SM - Banca,229,Active,Sales,, Lewis,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,47, Cameron,Coorg,1988-07-12 00:00:00,2007-10-20 00:00:00,SM - Banca,230,Active,Sales,, Lillian,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,47, Cameron,Hubballi-Dharwad,1963-12-18 00:00:00,2006-03-02 00:00:00,SM - Banca,323,Exited,Sales,2024-04-05 00:00:00, Samuel,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,47, Cameron,Hubballi-Dharwad,1984-10-14 00:00:00,2010-04-15 00:00:00,SM - Banca,228,Active,Sales,, Levi,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,47, Cameron,Mangaluru,1961-03-10 00:00:00,2014-12-20 00:00:00,SM - Banca,227,Active,Sales,, Leslie,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,47, Cameron,Mangaluru,1980-06-03 00:00:00,2012-07-13 00:00:00,SM - Banca,322,Exited,Sales,2024-03-26 00:00:00, Samantha,Joseph,11, Alexis,Varsha,Karnataka Urban,South 2
Banca,48, Carl,All,1981-05-16 00:00:00,2010-06-06 00:00:00,ASM - Banca,263,Exited,Sales,2024-04-18 00:00:00, Megan,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,48, Carl,All,1988-12-30 00:00:00,2009-01-12 00:00:00,ASM - Banca,48,Active,Sales,, Carl,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,48, Carl,Madurai,1987-11-23 00:00:00,2014-06-12 00:00:00,SM - Banca,231,Active,Sales,, Linda,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,48, Carl,Salem,1970-02-11 00:00:00,2015-03-09 00:00:00,SM - Banca,233,Active,Sales,, Lisa,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,48, Carl,Tiruchirappalli,1965-02-09 00:00:00,2008-08-23 00:00:00,SM - Banca,232,Active,Sales,, Lindsay,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,48, Carl,Tirunelveli,1968-01-03 00:00:00,2016-07-18 00:00:00,SM - Banca,234,Active,Sales,, Liz,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,48, Carl,Tirunelveli,1969-12-23 00:00:00,2010-03-01 00:00:00,SM - Banca,324,Exited,Sales,2024-01-20 00:00:00, Sandra,Joseph,11, Alexis,Varsha,Tamil Nadu,South 3
Banca,49, Carol,All,1970-02-23 00:00:00,2017-09-27 00:00:00,ASM - Banca,49,Active,Sales,, Carol,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Anantapur,1979-03-15 00:00:00,2021-08-30 00:00:00,SM - Banca,242,Active,Sales,, Mabel,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Eluru,1984-12-24 00:00:00,2011-07-10 00:00:00,SM - Banca,241,Active,Sales,, Lynn,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Guntur,1965-04-05 00:00:00,2007-06-06 00:00:00,SM - Banca,237,Active,Sales,, Louis,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Kurnool,1969-06-18 00:00:00,2016-09-05 00:00:00,SM - Banca,239,Active,Sales,, Luke,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Nellore,1988-02-26 00:00:00,2018-11-13 00:00:00,SM - Banca,238,Active,Sales,, Lucas,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Rajahmundry,1964-02-13 00:00:00,2006-04-21 00:00:00,SM - Banca,240,Active,Sales,, Lydia,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Vijayawada,1975-04-26 00:00:00,2010-10-22 00:00:00,SM - Banca,236,Active,Sales,, Lori,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Vijayawada,1976-03-18 00:00:00,2015-06-04 00:00:00,SM - Banca,326,Exited,Sales,2024-05-05 00:00:00, Sarah,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Visakhapatnam,1981-10-27 00:00:00,2012-12-16 00:00:00,SM - Banca,235,Active,Sales,, Logan,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,49, Carol,Visakhapatnam,1983-01-03 00:00:00,2018-11-23 00:00:00,SM - Banca,325,Exited,Sales,2024-04-07 00:00:00, Sara,Joseph,11, Alexis,Varsha,Andhra Pradesh,South 4
Banca,50, Caroline,All,1981-01-01 00:00:00,2023-11-09 00:00:00,ASM - Banca,50,Active,Sales,, Caroline,Joseph,11, Alexis,Varsha,Telengana,South 5
